2024-05-07 07:59:03.055	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:26:12 <anonymous>]	Receive ipcMain event: main.Util:getUiVersion
2024-05-07 07:59:06.499	INFO	[main /resources/app/packages/main/componentManager/utils/update.ts:65:14 Ss.checkUpdate]	[Component Installer | Maa Core] Attempting to find OTA update asset: MAAComponent-OTA-v5.2.2_v5.2.4-alpha.1.d023.g76b03fdda-linux-x86_64.tar.gz
2024-05-07 07:59:06.499	WARN	[main /resources/app/packages/main/componentManager/utils/update.ts:90:16 Ss.checkUpdate]	[Component Installer | Maa Core] Unable to acquire OTA update asset, attempting to obtain full update asset
2024-05-07 07:59:06.500	ERROR	[main /resources/app/packages/main/componentManager/utils/update.ts:101:14 Ss.checkUpdate]	[Component Installer | Maa Core] Failed to retrieve core update asset
2024-05-07 07:59:06.500	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:26:12 <anonymous>]	Receive ipcMain event: main.CoreLoader:getCoreVersion
2024-05-07 07:59:10.670	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:26:12 <anonymous>]	Receive ipcMain event: main.Util:LogInfo
2024-05-07 07:59:10.670	INFO	[renderer /resources/app/packages/main/utils/logger.ts:50:24 func]	change device status 72a65d3ee74d83ae unknown ->
2024-05-07 07:59:10.671	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:26:12 <anonymous>]	Receive ipcMain event: main.CoreLoader:initCoreAsync
2024-05-07 07:59:10.673	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:26:12 <anonymous>]	Receive ipcMain event: main.StorageManager:set
2024-05-07 07:59:10.723	SILLY	[main /resources/app/packages/main/storageManager/index.ts:68:12 ys.<anonymous>]	configuration saved
2024-05-07 07:59:10.738	SILLY	[main /resources/app/packages/main/coreLoader/callback.ts:6:12 S1]	2
2024-05-07 07:59:10.739	SILLY	[main /resources/app/packages/main/coreLoader/callback.ts:7:12 S1]	{"details":{"adb":"\"/home/louis/.config/maa-x/platform-tools/adb\"","address":"127.0.0.1:5555","config":"General","uuid":"72a65d3ee74d83ae"},"uuid":"72a65d3ee74d83ae","what":"UuidGot","why":""}
2024-05-07 07:59:10.740	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:40:10 ipcMainSend]	Send ipcRenderer event: renderer.CoreLoader:callback
2024-05-07 07:59:10.741	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:26:12 <anonymous>]	Receive ipcMain event: main.Util:LogDebug
2024-05-07 07:59:10.741	DEBUG	[renderer /resources/app/packages/main/utils/logger.ts:42:24 func]	
2024-05-07 07:59:10.741	SILLY	[main /resources/app/packages/main/utils/ipc-main.ts:26:12 <anonymous>]	Receive ipcMain event: main.Util:LogDebug
2024-05-07 07:59:10.742	DEBUG	[renderer /resources/app/packages/main/utils/logger.ts:42:24 func]	
2024-05-07 07:59:10.769	SILLY	[main /resources/app/packages/main/coreLoader/callback.ts:6:12 S1]	2
